Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
"John walks everyday from his house to the police station. After walking at a rate of 2 meters/second for 3 minutes, he looks at his watch and realizes that he has to run 4 meters/second for 1 minute so he won??t be late. What is the distance from his house to the police station?",10 m,60 m ,105 m,400 m ,600 m,600 m
Radicals: ??0.000025,0.5,0.05,0.005,0.00005,none of these,0.005
"Number Series: 1/12, 1/6, 1/4, 1/3, ____",1,03-Jan,12-May,02-Jan,None of the above,12-May
"A chemist has 400 milliliters of a solution of 20% alcohol on hand, and he wants to mix it with enough pure alcohol to turn it into a 30% alcohol solution. How much pure alcohol will this require?",30,40,50,60,57,57
What is the percentage decrease from 80 to 60?,33.33%,25%,20%,75%,None of the above,25%
What is the percentage increase from 60 to 80?,33.33%,25%,20%,75%,None of the above,33.33%
"A businessman sells 60% English books and still has 28 English books. Originally, he had:",47,39%,60,70,None of the above,70
Twelve and one half percent of 200 is what number?,112,12,50,25,none of the above,25
"If the price of a book is first decreased by 25% and then increased by 20%, then the net change in the price will be :",10%,20%,30%,40%,none of the above,10%
"In a mixture 60 litres, the ratio of milk and water 2 : 1. If this ratio is to be 1 : 2, then the quantity of water to be further added is:",20 L,30 L,40 L,60 L,none of the above,60 L
"Participants in a certain conference from Luzon, Visayas, and Mindanao are in the ratio of 4:3:2. If there are 120 participants from Luzon, how many participants are there in all?",270,150,240,420,none of the above,270
"4, 8,32, 256, 3584,____","68,960","53,600",61440,"78,848",46080,"78,848"
"40,43,37,49,_____ , 73",25,-20,-50,45,-53,25
". 5, 0,_____ ,2,1/5,2/5",05-Apr,none of these,25-Jan,2,5,none of these
"-3, ,12, 60, 252",none of these,5,3,-1,-5,3
"___,-14, -2, 46, 238",-21,-15,#VALUE!,9,-17,-17
"The amount of last month??s internet bill decreased by the product of 3 and P30.00 equals P1,319.50. What is the amount of the internet biII+","P1,229.50","P1,289.50 ","P1,310.50","P1,490.50","P1,409.50","P1,409.50"
Eighteen less than seven times the number of fruit juices is 269. How many fruit juices are there*,32,44,41,45,42,41
Sophia read 2/3 of her favorite book. She calculated thatshefinished90morepagesthanshehas yetto read. How many pages does her book have?,270,320,150,240,220,270
"Acornfield can beplOwed by6tractors in4days.When 6tractors wOrktogether, each ofthem plows J20 hectares aday If two of thetractors were moved toanother cornfield, then theremaining 4tractors could plow the same field in 5 days. How many hectares a day would one tractor plow then*",J42 hectares per day,44hectares per day,146 hectares per day,148 hectares per day,150 hectares per day,44hectares per day
"Amath student chose a random number, multiplied itby 2,ther subtracted 38fromthe result and got102. What was the number that the student chose?",40,20a,102,20,104,20
"Amobile phone isbeingsold atP7,200.00.The discountrateislisted at 40%.Whatistheregular price ofthe phone?","P10,000.00","P14,000.00","P12,000.00","P13,000.00","P11,000.00","P12,000.00"
"Elsa is twice asold as Anna. Seyen years ago,the sum of their ages was16 How oldis Anna now?",6,10,8,12,14,10
"A vendor from Ouiapo sold twice asmany oranges in the afternoon than in the morning. If she sold 360 kJograrrs of oranges that day, how many kilograms did she sell in the afternoon?",120 kg,50 kg,170 kg,200 kg,240 kg,240 kg
If th eweight ofa 241-kilogram moving truck increases to3 /8times whenfully-loaded with  appliances what will be its weight with a full load?,753 1/8 kilogram,725 /2kilogram,723 1 /4kilogram,755 /5 kilogram,728 ??/? kilogram,753 1/8 kilogram
"Fujiko drives from prOvince AtoProyinceB Aftertwohours of driving she noticed thatshe covered 80Lm andcalculated that,ifshe continued driving atthesame speed, shewouldendupbeing15minutes late Not wanting thattohappen, FujiLo increased her speed by10km/hr andshe arrived atprovince B36 minutes earlier that she planned. What is the distance be een provinces A and B?",220 km,250 Lm,280 km,310 km,340 km,250 Lm
Awaiterreceived a15% tipforarestaurant billof$59.14. Whichofthefollowingestimates isclosest tothetip of the waiter received?,$5.00 ,$7.50 ,$9.00 ,$12.00 ,$13.50 ,$9.00 
Which of the following yaIues of x is a solution for the equation below? x*= 256,0.4,-8,#VALUE!,128,512,#VALUE!
Which of the following is equivalent to the expression below? x*?? 144,(x ?? )(x ?? 144),(x ?? )(x * 144),(x ?? 12)(x -12),(x??12)(x+J2),None of these,(x??12)(x+J2)
Aruginthe shape of a square has an area of 33 square feet. Which if the following estimates is closest tothe length of each side of the rug?,5'4  feet,5'3  feet,6 feet,7' feet,8'1  feet,5'3  feet
"The following are examples of Palindrome, except.",level,same,deified,noon,murdrum,same
"That perfume always ""evokes"" pleasant memories.",angers,erases,calls up,confuses,none of these,calls up
"The attorney wanted to ""expedite"" the process because her client was becoming impatient.",accelerate,evaluate,reverse,justify,none of these,accelerate
"The suspect gave a ""plausible"" explanation for his presence at the scene, so the police decided to look elsewhere for the perpetrator of the crime.",unbelievable,credible,insufficient,apologetic,none of these,credible
"He based his conclusion on what he ""inferred"" from the evidence, not on what he actually observed",predicted,imagined,surmised,implied,none of these,surmised
Sila ay nagdadamayan sa hirap at ginhawa. Sila ay totoong ??naghihiramang suklay??,mag asawa,magkapatid,magkaibigan,magka anak,none of these,magkaibigan
There is no PANACEA that will solve our financial difficulty.,cure-all,answer,paradox,criteria,none of these,cure-all
A multifarious task would,have many different components.,have very few components.,be very complex.,be impossible to complete.,none of these,have many different components.
Plaintive cries would be,"musical, soothing.","plain, uninteresting","loud, jarring","sorrowful, mournful.",none of these,"sorrowful, mournful."
People with inveterate beliefs,can be easily manipulated.,have adopted their beliefs from another.,hold their beliefs deeply and passionately.,change their beliefs frequently.,none of these,hold their beliefs deeply and passionately.
"If you were involved in an altercation, you",had an accident.,had a heated argument.,served in a war.,were part of a conspiracy.,none of these,had a heated argument.
"If you are a contentious person, you",are usually right.,believe in ??an eye for an eye.??,always try to keep the peace.,are very competitive and quarrelsome,none of these,are very competitive and quarrelsome
"If you are part of a cabal, you",are involved in a secret plot.,are participating in a protest.,belong to the majority.,are fighting against the enemy,none of these,are involved in a secret plot.
"If you are a bellicose leader, you",do everything in your power to avoid war,are eager to wage war.,remain neutral during international conflicts.,treat all citizens equally,none of these,are eager to wage war.
"If an apocalypse is near, you can expect",a period of extended peace.,a time of anarchy.,total devastation and destruction.,an invasion,none of these,total devastation and destruction.
"If your country suffers an incursion, your territory",has been invaded.,is in a depression.,has seceded to form a new state.,has had a natural disaster,none of these,has been invaded.
"If you meet your nemesis, you meet",the leader of your country,your guardian angel.,the cause of your misfortunes.,the person who decides your fate.,none of these,the cause of your misfortunes.
"If you pillage a village, you",set it on fire.,destroy it with bombs.,negotiate peace between warring tribes.,ransack it and steal as much as you can.,none of these,ransack it and steal as much as you can.
"If you are a placid person, you",are usually calm and peaceful.,are always trying to pick a fight.,are disloyal,are not to be trusted,none of these,are usually calm and peaceful.
"If you plan a reprisal, you",are not to be trusted,are not to be trusted,are not to be trusted,plan to desert the army.,none of these,are not to be trusted
"If you don??t spill the beans now, you might gonna regret it",spread rumors,let out a secret,plant some seeds,none of the above,none of these,let out a secret
"Hey, man, you are absolutely barking up the wrong tree here because I??m innocent.",choosing the wrong dog,giving up a fight,accusing the wrong person,setting up an event in a tree,none of these,accusing the wrong person
One proven way to beat an enemy is find his Achilles heel.,secret strategy,amulet,strong point,weak spot,none of these,weak spot
His new Ferrari costs an arm and a leg so he is now looking for another job.,very expensive,got fired,met an accident,was stolen,none of these,very expensive
He married a woman who was born with a silver spoon in her mouth.,born very beautifu,born very poor,born into a very rich family,born very talkative,none of these,born into a very rich family
They were able to WEATHER the storm,reached home safely,survived the crisis,defeated the enemies,realized their mistakes,predicted the calamity,survived the crisis
TRUST men and they will be true to you.,a man is loyal in whom confidence had been placed,man must trust you to be faithful to you,a secret is a test of friendship,destruct the people justifies their deserving,trust all men in everything or more in anything,a man is loyal in whom confidence had been placed
CUT your coat to your cloth.,walk in accordance with your ability,desire only what you can afford,patronize first your own product,express only relevant ideas,dress up according to the accessories,desire only what you can afford
Paddle your own CANOE.,always tries his best,earn his own money,have self-respect,learn from his mistakes,be self-reliant,be self-reliant
This report leaves much to be DESIRED,satisfactory,longed,important,legible,ready,longed
The journalist made a ________ to finish the article by Friday.,commitment,committent,comittment,comitment,none of these,commitment
Dad thinks it is ________ to stay up late on a school night.,rediculous,rediculus,ridiculous,ridiculus,none of these,ridiculous
The large donation came from an ________ source,anynonimous,anonimous,anounymous,anonymous,none of these,anonymous
The scientists had to do an ________ amount of research on the project.,extraordinary,extraordinery,extrordinary,ecstraordinary,none of these,extraordinary
The customer service representative gave his ________ that the refund would be made within two weeks.,asurrance,assurance,assurence,assureance,none of these,assurance
The purpose of the new city ordinance was debated ________.,frequently,frequintly,frequentlly,frequentley,none of these,frequently
"Throughout the trial, the ________ was placed on scientific evidence.",enphasis,emphisis,emphasis,emfasis,none of these,emphasis
The presidential candidate refused to ________ the election until every vote was counted.,concede,conceed,consede,conseed,none of these,concede
Each of the new employees had similar________.,asspirations,asparations,aspirrations,aspirations,none of these,aspirations
The young man wished to ________ his right to speak freely.,excercise,exercise,exersize,exercize,none of these,excercise
There are no effective boundaries when it comes to pollutants. Studies have shown that toxic insecticides that have been banned in many countries are riding the wind from countries where they remain legal. Compounds such as DDT and toxaphene have been found in remote places like the Yukon and other Arctic regions. This paragraph best supports the statement that,toxic insecticides such as DDT have not been banned throughout the world.,more pollutants find their way into polar climates than they do into warmer areas.,studies have proven that many countries have ignored their own anti-pollution laws.,DDT and toxaphene are the two most toxic insecticides in the world.,none of these,toxic insecticides such as DDT have not been banned throughout the world.
"Most researchers in needy countries are based on the thinking and approach of the highly developed Western world, and seldom have they been directed toward meeting the countries; own development needs. The sentence best supports the statement that _________.",highly developed countries offer the best guide for the development of needy countries,most researchers done in needy countries are missing their objectives,most researchers have universal application,needy countries need researchers to help them reach the status of the western world,needy countries spend so much time for conducting researchers,3
"Critical reading is a demanding process. To read critically, you must slow down your reading and, with pencil in hand, perform specific operations on the text. Mark up the text with your reactions, conclusions, and questions. When you read, become an active participant. This paragraph best supports the statement that","critical reading is a slow, dull, but essential process.",the best critical reading happens at critical times in a person??s life.,readers should get in the habit of questioning the truth of what they read.,critical reading requires thoughtful and careful attention.,critical reading should take place at the same time each day.,critical reading requires thoughtful and careful attention.
"Two person look out through the same bars; one sees mud and the other, the stars. The sentence best supports the statement that __________.",some people are more blind than others,people see things differently depending on their own perspective,people have varied ways of looking at different things,people have different tastes and interests,people tend to influence one another??s views of things,people have varied ways of looking at different things
Nagawang mabago ng mga kasalukuyang awitin ang kamalayan ng Pilipino upang kantahin ang sarili niyang mga awit sa tanging wikang nakapagsasatinig sa kanyang kaluluwa. Isinasaad ng pangungusap na __________.,madamdamin at makabuluhan ang mga awiting isinulat sa wikang Pilipino,tagumpay ang mga awiting Pilipino na mabago ang kaugalian ng mga tao Pilipino,madaling matutuhan ang mga awiting Pilipino dahil ang mga ito ay nasusulat sa katutubong wika,natututuhan nang tangkilikin ng mga Pilipino ang kanilang mga sariling awitin,nagkakaroon na ng kamalayan ang mga Pilipino tungkol sa lahat ng mga awitin ngayon,natututuhan nang tangkilikin ng mga Pilipino ang kanilang mga sariling awitin
Sixty years ago I know everything ; now I know nothing ; education is a progressive discovery of our own ignorance. The sentence best supports the statement that __________.,"the older we get, the more we forget what we have learned","the older we get, the more knowledgeable we become","the more we learn, the more we realize that there??s more we need to know",we learn more as we grow old,ignorance is a lifelong experience,"the older we get, the more we forget what we have learned"
"In a modern economy, the results of long-range planning frequently depend upon the future value of money. The ability then to predict the value of money is a key to economic progress. The paragraph best supports the statement that _________.","In a modern economy, the results of long-range planning frequently depend upon the future value of money. The ability then to predict the value of money is a key to economic progress. The paragraph best supports the statement that _________.",the unpredictability of money is an obstacle to a nation??s prosperity,economic progress is facilitated by properly controlling budgetary expenses,long-range planning is unheard of in traditional economies,financial planning is indispensable in modern economy,the unpredictability of money is an obstacle to a nation??s prosperity
Ang pagbaba ng halaga ng piso lumikha ng krisis sa maraming industriya ng bansa. Kasunod nito ang pagtitipid at problema sa kawalan ng mapasukang trabaho. Lumikha rin ito ng pagtataas ng presyo ng mga bilihin na labis nakaapekto sa kita ng mga manggagawa. Ayon sa talata __________.,ang kasalukuyang krisis ay bunga ng mga mahal na bilihin at kawalan ng mapasukang trabaho.,ang krisis ay nakaapekto sa hangarin ng maraming industriya na makapagbigay ng karagdagang sahod sa kanilang mga manggagawa,dumarami ang mga walang hanapbuhay at tumataas ang halaga ng mga bilihin dahil sa krisis,maraming industriya ang nalulugi dahil sa krisis kaya itinataas din nila ang presyo ng kanilang mga produkto,"dahil sa krisis, maraming industriya ang napilitang magsara",2
"A. One effective way is to diversify his funds to different investments like real estate, stocks and money instruments like bonds and trust funds. B. It is always best to expand money to different investment wheels. C. A wise investor must not put all his eggs in one basket. D. He should always consider the risks involved in investing his money.",CBAD,CBDA,CDAB,CDBA,none of these,CDAB
"A. It is very vital to have social media presence however personal blogs serve as web domains. B. Most people including celebrities and businessmen have blogs nowadays. C. Therefore, building them will help anyone in promoting himself or his business. D. Apparently blogs are like our offices only they are in the internet.",BDAC,BADC,BACD,BDCA,none of these,BADC
"A. The basic steps in building a website are easy to remember and registering a domain name is the usual priority. B. Designing a layout will come after that. C. Finally, adding more content and social media presence are required to keep your site active. D. Then you need a hosting provider to host your site??s content in the World Wide Web.",ABCD,ADBC,ACBD,ADCB,none of these,1
"A. Speaking in English every day is also proven effective. B. Another way is watching English movies and TV shows particularly with English subtitles. C. Reading articles in books, newspapers, and magazines is just among the helpful ways. D. There are many ways to improve and develop English proficiency.",DCBA,DACB,DABC,DCAB,none of these,DCBA
A. Others don??t realize yet what to pursue because they have many dreams. B. Finding the right course in college is one of the most challenging decisions anyone can make. C. Some people want to pursue their dreams ever since they were just little. D. Indeed destiny is a matter of choice.,BDAC,BCDA,BADC,BCAD,none of these,BCAD
A. Many innovations without proven results and follow up evaluation are educational wastages B. One wonders in the final analysis if these changes have been deeply rooted on basic problems of the people they serve. C. Some curriculum changes were mere fads without foreseeable achievements. D. What we need are innovations that overcome the mis-education of the young.,BACD,ACDB,ABCD,CBAD,none of these,ACDB
"A. By trying, man learns to solve his problems through satisfying acts and eliminate actions which are annoying. B. He used a hungry cat in a puzzled box where it tried ways to get out in order to get to the food. C. Edward C. Thorndike??s connectionism theory of learning establishes the trial and error way to learn. D. He established the fact that like the cat, man too, learns by trial and error.",ACBD,BACD,ACDB,ABCD,none of these,ACBD
A. A responsive educational system should be directed towards regional cooperation. B. Commonality of educational objectives should be replaced by better ways of achieving goals that fit the regional needs. C. It is necessary to revolutionize the contemporary methodologies in the teaching-learning processes. D. The educational goals should seek for a better way of experimentation in the teaching strategies and technologies,ABCD,ABDC,BCAD,DABC,none of these,0
"A. Before, his religion was basically involved with rituals and ceremonies. B. The religion of the teacher helps him in reducing his fears and uncertainties. C. His religion responds to his needs for a means to allay fears about the uncertainty of events contrary to natural laws. D. Religion is important because it provides spiritual nourishment for his total being.",ABCD,BACD,DBCA,CBAD,none of these,1
"A. While passport, airline tickets and valid IDs are required, proof of financial capacity may be required for visa application. B. Many Filipinos rejoiced hearing that good news. C. The Bureau of Immigration announced recently that proof of financial capacity is not a primary requirement at the airport. D. Positive points go to the bureau for this.",CBAD,CADB,CABD,CBDA,none of these,CBDA
"A. This will be one of your tickets to land a job in the government. B. That is why many people apply to take the Career Service examination. C. If you passed the exam, you will get a certificate of eligibility. D. Career Service Eligibility is a major requirement to apply for a job position in the government.",DCBA,DBAC,DBCA,DCAB,none of these,DBCA
"A. Your passport will arrive in 7 days if you choose the rush processing. B. Getting a passport is faster nowadays. C. Now, it only takes about 10 working days. D. Compared before, it would take about a month for the regular processing.",BCAD,BDCA,BADC,BACD,none of these,1
"A. Facebook has been the number one social network in the web and the world for quite long now. B. Mobile instant messaging apps are also dominating social presence in the internet. C. After many acquisitions, Facebook bought Instagram, one of the fastest growing photo sharing networks. D. Because of that, Facebook acquired WhatsApp, a leading instant chat platform like Kakaotalk.",ACBD ,ABCD,ADCB,ADBC,none of these,ACBD 
"A. They will help you to purchase through zero-interest installment schemes. B. Thus, you must be wise and pay in full if you want to avoid never-ending debts. C. Credit cards are helpful if you know how and when to use them wisely. D. However, they will produce interests from interests if you didn??t pay the whole amount at the due date.",CDBA,CABD,CDAB,CADB,none of these,CADB
"A. Although the government is willing to put resources to education ,alone, it cannot do the job. B. Education Act of 1980 provides an all encompassing activity with participation at all educational levels and sectors. C. The private schools have to be partners. D. The Act not only strengthens but equips the DepEd with its regulatory and developmental tasks as well",BACD,ABCD,DBCA,CADB,none of these,0
Laila apparently learned nothing from the House political debacle last year DEBACLE means,introduction,fiasco,dynasty,conflict,assault,fiasco
The boys went for a brisk run around the arena in order to prepare before their game BRISK means:,how,shol,as,long,mild,as
Agreat leader should be cognizant of the numerous issues that affect his constituents. The antonyn of the word COGNIZANT is:,aware,generous,conscious,apprised,ignorant,ignorant
There are some people who want to disparage an excellent and effective approach. The antonym of the wOrd DISPARAGE is:,discourage ,belittle,praise,defame,malign,praise
Thesteep stair was animpediment to the girloncrutches trying to class. The synonym of the word IMPEDIMENT is:,obstruction,link,reason,way,process,obstruction
"Wesometimes encounter experiences inlifewhichseenbarren, vapidorperipheral. Theantonyrn ofthe word VAPID is",lively,uninteresting,borng,innouou,insipid ,lively
She haunts her new little black dress to attract the attention of the wealthy customers of the bar. The synonym of the word FLAUNT is:,hide,display,pass,suppress,refrain,display
Most of the men are enamored by Jasmine??s beauty and intelligence. The synonym of the word ENAMORED is:,hated,confused,repulsed,enchanted,bothered,enchanted
"When their coach was replaced, Cam s position as a quarterback became precarious. The synonym of the word PRECARIOUS is:",important,exalted,secured,uncertain,irrelevant,uncertain
Attending aclasswithoutlistening totheteacher??s lesson isfutile.Theantonym ofthewordFUTILEis:,useless,helpless,avoidable,unnecessary,fruitful,fruitful
The president??s intention behind the bombing was to provoke a large-scale war. The antonyrn of the word PROVOKE is:,frighten,aggravate,discourage,incite,raise,discourage
"Even though William was in a motorcycle accident, he managed to walk away unscathed. The antonym of the word UNSCATHED is",harmed,peacefully,without any injury,graceflly,immediately,harmed
Makapangyarihanangpag-ibig.Hindi itonaitataboy ngpana attinatawanan lamanganghaginitngsibat.Ang ibig sabihin ng salitang HAGINIT ay:,talas,Paging,tibay,lakas,bilis,Paging
Saka lamang niya napagtanto ang tahalagahan ng edukasyon nang siya ay mawalan ng hanap-buhay. Ang kasalungat ng salitang NAPAGTANTO ay:,nalanan,nakita,nabatid,naisip,nabale-wala,nabale-wala
Naging magama ang kabuhayan ni Melissa dahil sa kanyang pagiging mapag-impok. Ang kasing-kahulugan ng salitang MAPAG-IMPOK ay:,mapag-timpi,mapag-ayos,mapag-waldas,mapag-imbot,mapag-ipon,mapag-ipon
Hindi binili ni Berto ang vga gulay ra nasa kariton sapagkat ito ay lagibas. Ang basing-kahulugan ng salitang LAGIBAS ay:,mahal,mabaho,tira-tira,hindi sariwa,pangit,hindi sariwa
Angpadalus-dalos napagdedesisyon ngmgakabataan ngayonangnaglalagay saManila sakapariwaraan. Ang kasalungat ng salitang PADALUS-DALOS ay:,biglaan,mabilisan,maingat,paputl-putol,mabagal,maingat
Sarah ______exceptional poems even at a very young age.,rite,write,rights,rites,writes,writes
"Due to bad weather conditions, the sailing company decided  ______postpone the tour.",they,too,that,to,then,to
Being excessively  ______ will surely make other women hate you.,bane,vein,vain,vane,ban,vain
Drunk-driving was the reason thefamily lost  ______ car.,their,there,them,they,they're,their
Lanie asks if she could  ______ one of your Playstation controllers.,borrow,lent,credit,loan,lend,borrow
Zenie  ______ the distance ir a new record the.,will cover,had covered,was covering,covered,covers,covered
"Afterthe visitor  ______ , Elsa went into the kitchen to do the dishes",went,go,gone,have gone,had gone,go
"When I opened my eyes, I  ______ a strange light.",was seeing,had saw,saw,see,have seen,saw
"Evenmorning,Eliza_____up early and gets ready for her morning on.",is waking,wakes,woke,awaken,has woken,wakes
"If I knew what she wanted,I______ this.",should not permit,would not permit,would not have permitted,should have not permitted,will not permit,would not permit
I _____ anything from Miguel in a long time,haven I heard,didn't hear,was not hearing,arr not hearing,heard,haven I heard
It??salready decided. We ____ Tokyo nextweek.,visit,will visit,would visit,should visit,are visiting,are visiting
I ____ English for fifteenyears.,taught,am teaching,was teaching,have been teaching,teach,have been teaching
Patricia _____ loves nOvels about tragic love.,writes,written,to write,has written,to wrote,to write
"The villagers are having a hard time with the crops but if they don??t have a dog,they'll hunt with catc.",Cats can smell better than dogs.,Shift to another type of work ,Make the most of what you've been given.,Start with a cat now and get a dog later.,Stop farming and do livestock instead.,Make the most of what you've been given.
"Sure, Antony is confident but he s a lot of noise and no walnuts.",Noisy but doesn??t haye a product.,Always babbling without stopping,All talk and no action.,Does not haye a walnut but clamors oflen.,Doing uproars with no clear intention,All talk and no action.
Why was Ginger so bent out of shape?,Not physically fit.,Absent-minded.,Broke.,Not cooperating.,Not cooperating.,Not cooperating.
They changed contractor because the previous one was cutting corners.,Charging more than the agreed upon price.,Taking shortcuts and doing shoddy works.,Not returning the excess supply,Terminating their employees without paymen,Issuing falsified document,Taking shortcuts and doing shoddy works.
Mackie??s editor said not to publish the article just yet because they need to confrm its sources but he jumped the gun.,Doing something earlier than you were supposed to.,Disobeyed orders,Doing an extreme action.,Jumping off a cliff,None of the aboye,Doing something earlier than you were supposed to.
Jessica hit the nail on the head when she said that Michelle??s squeaky voice !s ruining the act.,Doing or saying something that is precisely correct.,Doing or saying something that is precisely correct.,Telling everybody that something is wrong.,Talking behind the back of the person,None of the above.,Doing or saying something that is precisely correct.
??Hi Lindsay! Speak of the devil I was just telling Nancy about your new dress.,A bad person arrived,Talking about a person s bad habits.,A person not in a good position.,A lady who s dOne nothing right,None of the aboye.,None of the aboye.
Julio and Steve finally saw eye to eye on the business deal.,Saw each other in person.,Agreeing will so+eore.,Spoke the truth.,Cancel a business deal,None of the above,Agreeing will so+eore.
Noel wouldve come to the party if he was not feeling under the weather,Not liking the weather.,Not liking the event.,Not feeling well.,Not willing to spend,None of the above,Not feeling well.
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",buletin,peril,resoulution,exceedingly,migrent,peril
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",kalender,parna+ent,continuous,exeptona!,nusance,continuous
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",cathegory,persistent,restouranl,rrorgage,excitable,persistent
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",changeable,persperation,ridiculous,executeve,anexation,changeable
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",characteristic,pertane,satisfactoriely,excersice,bereive,characteristic
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",chemistry,fase,securred,concivable,exhastion,chemistry
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",senater,exhibition,picnick,circumstence,hygine,exhibition
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",pigone,presize,expence,civilization,presede,civilization
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",coocone,playright,sheere,segregation,strainuous,segregation
"DIRECTIONS: For each set of words, choose the one that is spelled correctly",absorption,resalution,sherif,scundrel,reciprosity,absorption
"1. It can be safely saidthatin thelast fifteen years,Lawrence RealEstate has becomea model for success despite the economic struggle and real estate devaluation. 2. In 2000, Lawrence decided to open two branch ol ces: One in Tampa in 2003 and one in Miami in 2004. 3. By 2007, the home office and both the branch o?ces had survived the economic showdown, so Lawrence and his associates are expanding their business to the Carolinas and plan to open a branch once in Charlotte in 20a 1. 4. Fifteen years ago, Lawrence staned his real estate business, and it has since become a huge success. In 1995, LawrenceRealEstate opened itsdoorinOviedo,Florida and soldseven milliondollarsofreal estate during the first few ??boom years??",2431,1234,4213,2341,4231,4231
1 June s opening moves are too weak and her mid-game tactics needs some work. June thinks it??s that easy to play chess. 3 She has been playing fOr 7 years now and she still has to improve on many aspects of the game 4 Ifonly shewouldimproveherapproachmore thanbragging abouthow shethinksit??s easy toplay this game. 5 June can??t win any tournament because of these drawbacks.,23145,24523,21453,23a53,21534,23145
"1 They fail to realize that when their children get hun, they become stronger. 2 Of course, parents' intentions are primarily just to prevent their child from being hurt. 3 Inthisageofsocialmedia, veryprotective parentsdepriye their childrenofthechancetoseetheharsh realities of the world they would eyentuaIIy face. 4 Parentsaswellastheirguardians should realizethattheir childrenneedspacetogrowinallaspects of life. There are some things which have to be learned rather than taught",35412,53124,32145,34512,51234,3
"1. Designing an attractive layout will come after that. 2. Thebasic stepsinbuilding awebsite orblogare easy toremember andregisteringadomainnameisthe usual priority. 3. Finally, adding more content and social media presence are required to keep your blog active. 4. You can also opt for free hosts via Blogger or Wordpress. S. Then you need a hosting provider to host your site??s conten",34152,2453,45321,25413,25a34,25413
"1. We don??t segregate our garbage and just throw on the streets or even in gutters. 2. Worst of all, some of us spit everywhere and fiI1 the air with bacteria. 3. Yet, many of us Filipinos don't cooperate in keeping our environment clear. 4. We also litter in public places like parks, and buildings. 5. Everyone knows the saying that ""ealth is Wealth""..",354j2,53j24,53142,34512,51234,53142
"1. Thisconditionhasbeenbroughtaboutbymanyfactors whichincludeindustrial plantsspewingout chemicals ir watevays and wastes being dumped by families living rear creeks and small streams. 2. Andif conditions warrant, family relocation may be initiated, living near bodies of water will be forbidden and in extreme cases, factories may be shut down. 3. Water pollution is becoming a serious problem throughout the world. 4. Warning is also given to the public when pollution becomes a real menace to health. 5. Tocounteract such factors, state health departments now measure the amount of pollution inthewater as we!! as the kind of pollutants.",35a42,31245,32145,31524,31542,4
"1. Speaking in Korean every day is also proven effective. 2. Another way is watching Korean movies andTV shows particularly with Korean subtitles. 3. ReadingKorean articles inbooks newspapers, andmagazines is justamong thehelpful ways 4. There are many ways to improve and develop Korean proTciency. 5. Of course, having aKorean friendto teach O is also a big help inlearning thelanguage.",43215,42351,42135,43521,43251,43215
"1. Others don??t realize yet what to pursue because they have many dreams. 2. Finding the right career is one of the most challenging decisions anyone can make. 3. Many people are also afraid to pursue the career they want because of financial reasons. 4. Some people want to pursue their dreams ever since they were just little. 5. Atthe endoftheday, everybody stillhas tomake achoice.",41235,24135,21435,41325,21543,41235
"1. This will be one of your tickets to land a job in the government. 2. That is why many people apply to take the Career Service Examination. 3. If you pass the exam, you will get a certificate of e!!gibiI!ty. 4. This certificate is your proof that you are a CSE passer. 5. A Career Service Eligibility is a major requirement to apply for a job position in the government.",51432,51342,53124,53412,5234a,1
It was an ISIS-affiliated local terrorist group which took over Marawi City,Abu Sayyaf,Maute Group,NPA,Jemaah Islamiyah,None of these,Maute Group
 What are the 3 main branches of the Government of the Philippines?,"Senate, Supreme Court, Congress","Presidential, Unicameral- Parliamentary, Bicameral-Parliamentary","Legislative, Executive, Judicial","The Legislature, The Senate, The Supreme Court",All of the above,"Legislative, Executive, Judicial"
The Supreme Court shall be composed of a Chief Justice and how many Associates Justices?,12,13,14,15,16,14
The Commander-in-Chief of all armed forces of the Philippines this 2022 is _________.,Air Force Commanding General Jeffrey Delgado,Rodrigo Duterte,Chief Justice Maria Lourdes Sereno,AFP Chief Lieutenant Gen. Emmanuel Bautista,None of these,Rodrigo Duterte
The executive power shall be vested in the _________.,President of the Philippines,House of Representatives,The Supreme Court,The Congress,All of the above,President of the Philippines
The legislative power shall be vested in the _________ which shall consist of a Senate and a House of Representatives.,Congress of the Philippines,House of Ombudsman,The Supreme Court,Bureau of Internal Revenue,All of the above,Congress of the Philippines
The Senate shall be composed of how many senators elected at large by voters of the Philippines?,21,22,23,24,26,24
How long shall the term of office of the senators be commenced?,3 years,4 years,5 years,6 years,7 years,6 years
The term of office of the President and Vice-president of the Philippines shall be up to how many years?,3 years,4 years,5 years,6 years,7 years,6 years
The members of the House of Representatives shall be elected for a term of _______.,3 years,4 years,5 years,6 years,7 years,3 years
The following shall be exempted from taxation except:,Lands and buildings,Churches and convents,Charitable institutions,Non-profit cemeteries,None of these,Lands and buildings
